Bin , nEvents , Efficiencies
150,951,0.01902
160,871,0.01742
170,697,0.01394
180,709,0.01418
190,664,0.01328
200,1237,0.02474
220,1089,0.02178
240,960,0.0192
260,873,0.01746
280,759,0.01518
300,654,0.01308
320,566,0.01132
340,473,0.00946
360,418,0.00836
380,401,0.00802
400,406,0.00812
420,369,0.00738
440,332,0.00664
460,287,0.00574
480,282,0.00564
500,240,0.0048
520,224,0.00448
540,185,0.0037
560,195,0.0039
580,175,0.0035
600,185,0.0037
630,211,0.00422
660,188,0.00376
690,161,0.00322
720,143,0.00286
750,118,0.00236
780,123,0.00246
810,121,0.00242
840,93,0.00186
870,97,0.00194
900,120,0.0024
950,72,0.00144
1000,92,0.00184
1050,72,0.00144
1100,57,0.00114
1150,65,0.0013
1200,49,0.00098
1250,38,0.00076
1310,45,0.0009
1370,43,0.00086
1430,30,0.0006
1490,27,0.00054
1550,24,0.00048
1610,24,0.00048
1680,14,0.00028
1750,16,0.00032
1820,12,0.00024
1890,9,0.00018
1970,9,0.00018
2050,3,6e-05
