Bin , nEvents , Efficiencies
150,40,0.0008
200,98,0.00196
250,134,0.00268
300,143,0.00286
350,128,0.00256
400,129,0.00258
450,135,0.0027
500,223,0.00446
600,203,0.00406
700,183,0.00366
800,156,0.00312
900,108,0.00216
1000,134,0.00268
1150,184,0.00368
