Bin , nEvents , Efficiencies
152.41,7,0.00014
165.05,7,0.00014
178.75,7,0.00014
193.57,6,0.00012
209.63,21,0.00042
227.02,28,0.00056
245.86,33,0.00066
266.25,69,0.00138
288.34,91,0.00182
312.26,115,0.0023
338.16,172,0.00344
366.21,170,0.0034
396.59,213,0.00426
429.49,300,0.006
465.12,353,0.00706
503.71,428,0.00856
545.49,474,0.00948
590.74,547,0.01094
639.75,609,0.01218
692.82,755,0.0151
750.29,858,0.01716
812.54,996,0.01992
879.94,1149,0.02298
952.94,1304,0.02608
1032,1533,0.03066
1117.6,1686,0.03372
1210.3,1977,0.03954
1310.7,2113,0.04226
1419.4,2270,0.0454
1537.2,2302,0.04604
1664.7,2275,0.0455
1802.8,2255,0.0451
1952.4,2096,0.04192
2114.3,1880,0.0376
2289.7,1586,0.03172
2479.7,1196,0.02392
