Bin , nEvents , Efficiencies
150,0,0
200,1,2e-05
250,3,6e-05
300,2,4e-05
350,6,0.00012
400,20,0.0004
450,21,0.00042
500,51,0.00102
600,46,0.00092
700,38,0.00076
800,35,0.0007
900,40,0.0008
1000,33,0.00066
1150,83,0.00166
