Bin , nEvents , Efficiencies
50,6,0.00024
70,0,0
80,0,0
90,3,0.00012
100,2,8e-05
120,3,0.00012
140,4,0.00016
160,1,4e-05
180,1,4e-05
200,4,0.00016
220,2,8e-05
240,1,4e-05
260,2,8e-05
280,1,4e-05
300,2,8e-05
320,0,0
340,0,0
360,3,0.00012
400,10,0.0004
500,3,0.00012
600,3,0.00012
700,11,0.00044
800,36,0.00144
