Bin , nEvents , Efficiencies
150,168,0.00672
160,177,0.00708
170,174,0.00696
180,185,0.0074
190,161,0.00644
200,295,0.0118
220,298,0.01192
240,343,0.01372
260,293,0.01172
280,321,0.01284
300,306,0.01224
320,283,0.01132
340,259,0.01036
360,257,0.01028
380,253,0.01012
400,248,0.00992
420,229,0.00916
440,242,0.00968
460,214,0.00856
480,193,0.00772
500,186,0.00744
520,174,0.00696
540,193,0.00772
560,168,0.00672
580,149,0.00596
600,267,0.01068
630,225,0.009
660,209,0.00836
690,188,0.00752
720,186,0.00744
750,176,0.00704
780,159,0.00636
810,144,0.00576
840,156,0.00624
870,155,0.0062
900,209,0.00836
950,213,0.00852
1000,165,0.0066
1050,160,0.0064
1100,141,0.00564
1150,137,0.00548
1200,131,0.00524
1250,144,0.00576
1310,117,0.00468
1370,110,0.0044
1430,94,0.00376
1490,86,0.00344
1550,89,0.00356
1610,78,0.00312
1680,65,0.0026
1750,58,0.00232
1820,40,0.0016
1890,54,0.00216
1970,57,0.00228
2050,41,0.00164
