Bin , nEvents , Efficiencies
150,474,0.01896
160,438,0.01752
170,423,0.01692
180,388,0.01552
190,333,0.01332
200,656,0.02624
220,559,0.02236
240,492,0.01968
260,391,0.01564
280,380,0.0152
300,336,0.01344
320,278,0.01112
340,262,0.01048
360,209,0.00836
380,197,0.00788
400,154,0.00616
420,163,0.00652
440,155,0.0062
460,127,0.00508
480,125,0.005
500,101,0.00404
520,101,0.00404
540,88,0.00352
560,95,0.0038
580,74,0.00296
600,102,0.00408
630,102,0.00408
660,105,0.0042
690,69,0.00276
720,58,0.00232
750,66,0.00264
780,52,0.00208
810,40,0.0016
840,41,0.00164
870,40,0.0016
900,62,0.00248
950,54,0.00216
1000,44,0.00176
1050,37,0.00148
1100,24,0.00096
1150,37,0.00148
1200,31,0.00124
1250,33,0.00132
1310,28,0.00112
1370,23,0.00092
1430,12,0.00048
1490,14,0.00056
1550,11,0.00044
1610,4,0.00016
1680,11,0.00044
1750,10,0.0004
1820,9,0.00036
1890,7,0.00028
1970,9,0.00036
2050,2,8e-05
