"Bin "," nEvents "," Efficiencies"
"150","983","0.0213 "
"160","887","0.01833"
"170","819","0.01656"
"180","743","0.01566"
"190","686","0.01418"
"200","1262","0.02469"
"220","1101","0.02226"
"240","920","0.01835"
"260","851","0.01652"
"280","706","0.01466"
"300","632","0.01237"
"320","563","0.01168"
"340","480","0.00982"
"360","472","0.00875"
"380","398","0.00803"
"400","362","0.00738"
"420","333","0.00642"
"440","289","0.00549"
"460","265","0.00553"
"480","236","0.00534"
"500","223","0.00458"
"520","172","0.00373"
"540","205","0.00353"
"560","167","0.00352"
"580","142","0.00285"
"600","192","0.00398"
"630","161","0.00349"
"660","153","0.00305"
"690","168","0.00273"
"720","140","0.00214"
"750","118","0.00209"
"780","118","0.00243"
"810","83","0.00182"
"840","98","0.00153"
"870","62","0.00144"
"900","109","0.00235"
"950","100","0.0017 "
"1000","81","0.00145"
"1050","72","0.00128"
"1100","49","0.00115"
"1150","54","0.00078"
"1200","56","0.00089"
"1250","43","0.00095"
"1310","38","0.00071"
"1370","27","0.00066"
"1430","21","0.00051"
"1490","23","0.00038"
"1550","12","0.00041"
"1610","18","0.00035"
"1680","15","0.00032"
"1750","11","0.00016"
"1820","16","0.00024"
"1890","8","0.00027"
"1970","6","0.00013"
"2050","3","0.00011"
