"Bin "," nEvents "," Efficiencies"
"150","996","0.02151 "
"160","901","0.018425"
"170","855","0.01646 "
"180","757","0.01555 "
"190","721","0.01389 "
"200","1237","0.024785"
"220","1054","0.02217 "
"240","966","0.018255"
"260","824","0.01618 "
"280","760","0.01477 "
"300","644","0.012245"
"320","569","0.0119  "
"340","545","0.00995 "
"360","462","0.008735"
"380","407","0.008095"
"400","349","0.00729 "
"420","317","0.00649 "
"440","293","0.005465"
"460","251","0.005465"
"480","264","0.00553 "
"500","226","0.00465 "
"520","222","0.003825"
"540","188","0.003665"
"560","177","0.00332 "
"580","151","0.002885"
"600","178","0.00383 "
"630","181","0.003505"
"660","150","0.002905"
"690","170","0.002685"
"720","125","0.00221 "
"750","108","0.002065"
"780","112","0.002575"
"810","90","0.00189 "
"840","92","0.001545"
"870","89","0.0015  "
"900","120","0.002695"
"950","92","0.00183 "
"1000","83","0.001525"
"1050","78","0.00142 "
"1100","62","0.001235"
"1150","56","0.00077 "
"1200","39","0.000885"
"1250","40","0.001055"
"1310","34","0.000715"
"1370","32","0.00075 "
"1430","22","0.000555"
"1490","20","0.00041 "
"1550","20","0.000485"
"1610","26","0.000395"
"1680","11","0.00032 "
"1750","8","0.00016 "
"1820","12","0.0003  "
"1890","13","0.000275"
"1970","11","0.000165"
"2050","7","0.000135"
