150,42,0.00084
160,48,0.00096
170,54,0.00108
180,71,0.00142
190,60,0.0012
200,168,0.00336
220,171,0.00342
240,188,0.00376
260,202,0.00404
280,221,0.00442
300,241,0.00482
320,239,0.00478
340,238,0.00476
360,240,0.0048
380,264,0.00528
400,289,0.00578
420,285,0.0057
440,286,0.00572
460,299,0.00598
480,312,0.00624
500,337,0.00674
520,339,0.00678
540,327,0.00654
560,322,0.00644
580,323,0.00646
600,510,0.0102
630,521,0.01042
660,506,0.01012
690,490,0.0098
720,530,0.0106
750,497,0.00994
780,508,0.01016
810,509,0.01018
840,482,0.00964
870,490,0.0098
900,818,0.01636
950,770,0.0154
1000,734,0.01468
1050,739,0.01478
1100,691,0.01382
1150,644,0.01288
1200,614,0.01228
1250,688,0.01376
1310,676,0.01352
1370,591,0.01182
1430,582,0.01164
1490,541,0.01082
1550,477,0.00954
1610,506,0.01012
1680,464,0.00928
1750,379,0.00758
1820,354,0.00708
1890,345,0.0069
1970,300,0.006
2050,235,0.0047
