Bin , nEvents , Efficiencies
150,0,0
200,0,0
250,2,4e-05
300,1,2e-05
350,4,8e-05
400,5,0.0001
450,8,0.00016
500,6,0.00012
550,15,0.0003
650,54,0.00108
