"Bin "," nEvents "," Efficiencies"
"152.41","1","5.33333333e-05"
"165.05","0","1.33333333e-05"
"178.75","1","3.33333333e-05"
"193.57","4","8.00000000e-05"
"209.63","3","3.33333333e-05"
"227.02","6","9.33333333e-05"
"245.86","2","9.33333333e-05"
"266.25","7","1.33333333e-04"
"288.34","5","2.66666667e-04"
"312.26","7","3.80000000e-04"
"338.16","17","7.40000000e-04"
"366.21","31","8.53333333e-04"
"396.59","33","1.21333333e-03"
"429.49","64","1.64000000e-03"
"465.12","103","2.40666667e-03"
"503.71","132","2.80666667e-03"
"545.49","152","3.25333333e-03"
"590.74","198","4.68000000e-03"
"639.75","231","5.17333333e-03"
"692.82","284","5.97333333e-03"
"750.29","361","7.35333333e-03"
"812.54","406","9.30000000e-03"
"879.94","466","1.04666667e-02"
"952.94","562","1.30133333e-02"
"1032","724","1.49466667e-02"
"1117.6","811","1.79866667e-02"
"1210.3","1088","2.25466667e-02"
"1310.7","1211","2.63800000e-02"
"1419.4","1466","3.10800000e-02"
"1537.2","1781","3.45266667e-02"
"1664.7","2019","3.84266667e-02"
"1802.8","2379","4.29000000e-02"
"1952.4","2692","4.45000000e-02"
"2114.3","2853","4.60266667e-02"
"2289.7","2772","4.50133333e-02"
"2479.7","2780","4.29133333e-02"
