Bin , nEvents , Efficiencies
150,75,0.0015
200,177,0.00354
250,113,0.00226
300,93,0.00186
350,54,0.00108
400,46,0.00092
450,39,0.00078
500,59,0.00118
600,23,0.00046
700,18,0.00036
800,13,0.00026
900,7,0.00014
1000,6,0.00012
1150,4,8e-05
