"Bin "," nEvents "," Efficiencies"
150,0," 0.00e+00"
160,0," 0.00e+00"
170,0," 0.00e+00"
180,0," 0.00e+00"
190,0," 8.00e-05"
200,0," 0.00e+00"
220,0," 4.00e-05"
240,1," 8.00e-05"
260,1," 0.00e+00"
280,0," 0.00e+00"
300,1,-4.00e-05
320,1," 0.00e+00"
340,0,-4.00e-05
360,0,-8.00e-05
380,0,-8.00e-05
400,1," 0.00e+00"
420,1," 8.00e-05"
440,1,-1.20e-04
460,1," 0.00e+00"
480,0," 1.20e-04"
500,0,-1.20e-04
520,0," 1.60e-04"
540,2," 8.00e-05"
560,1," 0.00e+00"
580,2,-8.00e-05
600,2,-1.60e-04
630,3,-6.00e-04
660,3,-4.00e-04
690,2," 2.80e-04"
720,7,-2.40e-04
750,3," 4.00e-05"
780,8," 8.40e-04"
810,13," 4.40e-04"
840,17," 3.60e-04"
870,19," 4.80e-04"
900,35," 1.52e-03"
950,27," 1.56e-03"
1000,33," 1.28e-03"
1050,36," 2.40e-04"
1100,36," 5.60e-04"
1150,34," 1.56e-03"
1200,44," 1.32e-03"
1250,49," 2.28e-03"
1310,42," 2.80e-03"
1370,61," 1.36e-03"
1430,47," 4.16e-03"
1490,62," 1.04e-03"
1550,85," 2.24e-03"
1610,83," 2.44e-03"
1680,91," 1.44e-03"
1750,86," 3.36e-03"
1820,72," 3.16e-03"
1890,117," 4.48e-03"
1970,132," 4.28e-03"
2050,126," 2.20e-03"
