"Bin "," nEvents "," Efficiencies"
"150","0","2.000e-05"
"160","1","3.000e-05"
"170","0","5.000e-05"
"180","0","7.000e-05"
"190","1","6.000e-05"
"200","1","1.900e-04"
"220","0","4.600e-04"
"240","2","3.900e-04"
"260","4","5.500e-04"
"280","2","5.800e-04"
"300","4","6.200e-04"
"320","5","7.900e-04"
"340","12","9.700e-04"
"360","12","9.400e-04"
"380","10","1.170e-03"
"400","11","1.060e-03"
"420","16","1.250e-03"
"440","26","1.180e-03"
"460","30","1.200e-03"
"480","51","1.140e-03"
"500","49","1.440e-03"
"520","37","1.210e-03"
"540","54","1.230e-03"
"560","45","1.450e-03"
"580","54","1.360e-03"
"600","81","2.710e-03"
"630","72","2.730e-03"
"660","92","3.220e-03"
"690","91","3.450e-03"
"720","106","3.480e-03"
"750","109","3.450e-03"
"780","101","3.380e-03"
"810","107","3.520e-03"
"840","105","3.880e-03"
"870","115","4.410e-03"
"900","243","6.730e-03"
"950","224","6.780e-03"
"1000","217","7.510e-03"
"1050","236","7.920e-03"
"1100","275","8.180e-03"
"1150","292","8.050e-03"
"1200","312","8.010e-03"
"1250","373","9.720e-03"
"1310","453","9.330e-03"
"1370","455","1.045e-02"
"1430","444","9.300e-03"
"1490","473","9.870e-03"
"1550","547","9.190e-03"
"1610","534","1.072e-02"
"1680","668","1.088e-02"
"1750","630","1.029e-02"
"1820","678","1.004e-02"
"1890","762","1.100e-02"
"1970","728","1.131e-02"
"2050","786","1.118e-02"
