Bin , nEvents , Efficiencies
150,0,0
160,0,0
170,0,0
180,0,0
190,0,0
200,0,0
220,0,0
240,0,0
260,0,0
280,0,0
300,1,8.58738e-05
320,0,0
340,0,0
360,0,0
380,0,0
400,1,8.58738e-05
420,0,0
440,0,0
460,1,8.58738e-05
480,0,0
500,0,0
520,0,0
540,0,0
560,0,0
580,0,0
600,1,8.58738e-05
630,1,8.58738e-05
660,0,0
690,0,0
720,1,8.58738e-05
750,1,8.58738e-05
780,1,8.58738e-05
810,0,0
840,1,8.58738e-05
870,3,0.000257621
900,1,8.58738e-05
950,3,0.000257621
1000,3,0.000257621
1050,0,0
1100,2,0.000171748
1150,6,0.000515243
1200,5,0.000429369
1250,10,0.000858738
1310,12,0.00103049
1370,13,0.00111636
1430,9,0.000772864
1490,21,0.00180335
1550,17,0.00145985
1610,23,0.0019751
1680,20,0.00171748
1750,14,0.00120223
1820,17,0.00145985
1890,29,0.00249034
1970,22,0.00188922
2050,28,0.00240447
