Bin , nEvents , Efficiencies
50,28,0.00056
70,13,0.00026
80,5,0.0001
90,15,0.0003
100,33,0.00066
120,31,0.00062
140,21,0.00042
160,25,0.0005
180,15,0.0003
200,26,0.00052
220,18,0.00036
240,21,0.00042
260,14,0.00028
280,14,0.00028
300,18,0.00036
320,18,0.00036
340,16,0.00032
360,39,0.00078
400,86,0.00172
500,74,0.00148
600,75,0.0015
700,49,0.00098
800,103,0.00206
