Bin , nEvents , Efficiencies
152.41,541,0.01082
165.05,622,0.01244
178.75,743,0.01486
193.57,843,0.01686
209.63,889,0.01778
227.02,921,0.01842
245.86,1069,0.02138
266.25,1223,0.02446
288.34,1190,0.0238
312.26,1177,0.02354
338.16,1258,0.02516
366.21,1239,0.02478
396.59,1260,0.0252
429.49,1273,0.02546
465.12,1316,0.02632
503.71,1335,0.0267
545.49,1271,0.02542
590.74,1342,0.02684
639.75,1270,0.0254
692.82,1173,0.02346
750.29,1138,0.02276
812.54,1000,0.02
879.94,942,0.01884
952.94,884,0.01768
1032,833,0.01666
1117.6,779,0.01558
1210.3,626,0.01252
1310.7,558,0.01116
1419.4,484,0.00968
1537.2,375,0.0075
1664.7,328,0.00656
1802.8,247,0.00494
1952.4,191,0.00382
2114.3,142,0.00284
2289.7,101,0.00202
2479.7,66,0.00132
