Bin , nEvents , Efficiencies
152.41,554,0.01108
165.05,680,0.0136
178.75,798,0.01596
193.57,840,0.0168
209.63,880,0.0176
227.02,1039,0.02078
245.86,1052,0.02104
266.25,1128,0.02256
288.34,1195,0.0239
312.26,1246,0.02492
338.16,1324,0.02648
366.21,1391,0.02782
396.59,1323,0.02646
429.49,1312,0.02624
465.12,1396,0.02792
503.71,1350,0.027
545.49,1363,0.02726
590.74,1211,0.02422
639.75,1265,0.0253
692.82,1145,0.0229
750.29,1142,0.02284
812.54,1061,0.02122
879.94,925,0.0185
952.94,938,0.01876
1032,797,0.01594
1117.6,696,0.01392
1210.3,596,0.01192
1310.7,459,0.00918
1419.4,375,0.0075
1537.2,301,0.00602
1664.7,237,0.00474
1802.8,146,0.00292
1952.4,114,0.00228
2114.3,87,0.00174
2289.7,54,0.00108
2479.7,21,0.00042
