Bin , nEvents , Efficiencies
152.41,652,0.01304
165.05,767,0.01534
178.75,900,0.018
193.57,906,0.01812
209.63,1041,0.02082
227.02,1095,0.0219
245.86,1224,0.02448
266.25,1240,0.0248
288.34,1280,0.0256
312.26,1318,0.02636
338.16,1303,0.02606
366.21,1374,0.02748
396.59,1436,0.02872
429.49,1355,0.0271
465.12,1399,0.02798
503.71,1395,0.0279
545.49,1311,0.02622
590.74,1218,0.02436
639.75,1181,0.02362
692.82,1181,0.02362
750.29,987,0.01974
812.54,876,0.01752
879.94,801,0.01602
952.94,682,0.01364
1032,536,0.01072
1117.6,444,0.00888
1210.3,353,0.00706
1310.7,294,0.00588
1419.4,215,0.0043
1537.2,161,0.00322
1664.7,102,0.00204
1802.8,85,0.0017
1952.4,63,0.00126
2114.3,38,0.00076
2289.7,23,0.00046
2479.7,16,0.00032
