Bin , nEvents , Efficiencies
152.41,43,0.00086
165.05,48,0.00096
178.75,44,0.00088
193.57,55,0.0011
209.63,90,0.0018
227.02,120,0.0024
245.86,147,0.00294
266.25,187,0.00374
288.34,211,0.00422
312.26,256,0.00512
338.16,311,0.00622
366.21,364,0.00728
396.59,402,0.00804
429.49,504,0.01008
465.12,633,0.01266
503.71,737,0.01474
545.49,806,0.01612
590.74,904,0.01808
639.75,1104,0.02208
692.82,1185,0.0237
750.29,1432,0.02864
812.54,1601,0.03202
879.94,1806,0.03612
952.94,1860,0.0372
1032,2012,0.04024
1117.6,2088,0.04176
1210.3,2194,0.04388
1310.7,2106,0.04212
1419.4,2203,0.04406
1537.2,2061,0.04122
1664.7,1891,0.03782
1802.8,1627,0.03254
1952.4,1442,0.02884
2114.3,1165,0.0233
2289.7,964,0.01928
2479.7,686,0.01372
