Bin , nEvents , Efficiencies
150,12,0.00024
160,9,0.00018
170,9,0.00018
180,30,0.0006
190,31,0.00062
200,49,0.00098
220,81,0.00162
240,92,0.00184
260,101,0.00202
280,93,0.00186
300,88,0.00176
320,118,0.00236
340,110,0.0022
360,131,0.00262
380,138,0.00276
400,158,0.00316
420,167,0.00334
440,182,0.00364
460,154,0.00308
480,184,0.00368
500,173,0.00346
520,169,0.00338
540,190,0.0038
560,177,0.00354
580,201,0.00402
600,298,0.00596
630,313,0.00626
660,328,0.00656
690,308,0.00616
720,335,0.0067
750,343,0.00686
780,349,0.00698
810,325,0.0065
840,338,0.00676
870,333,0.00666
900,557,0.01114
950,573,0.01146
1000,593,0.01186
1050,595,0.0119
1100,547,0.01094
1150,613,0.01226
1200,544,0.01088
1250,661,0.01322
1310,610,0.0122
1370,627,0.01254
1430,573,0.01146
1490,577,0.01154
1550,524,0.01048
1610,613,0.01226
1680,581,0.01162
1750,545,0.0109
1820,545,0.0109
1890,574,0.01148
1970,576,0.01152
2050,563,0.01126
