Bin , nEvents , Efficiencies
50,1,4e-05
100,0,0
150,1,4e-05
200,1,4e-05
250,1,4e-05
300,1,4e-05
350,1,4e-05
400,7,0.00028
500,2,8e-05
600,14,0.00056
