Bin , nEvents , Efficiencies
150,5,5.66142e-05
200,7,7.92599e-05
250,10,0.000113228
300,13,0.000147197
350,12,0.000135874
400,18,0.000203811
450,11,0.000124551
500,13,0.000147197
550,24,0.000271748
650,118,0.0013361
