Bin , nEvents , Efficiencies
150,0,0
160,0,0
170,0,0
180,0,0
190,0,0
200,1,2e-05
220,1,2e-05
240,1,2e-05
260,0,0
280,1,2e-05
300,1,2e-05
320,2,4e-05
340,3,6e-05
360,4,8e-05
380,5,0.0001
400,6,0.00012
420,6,0.00012
440,4,8e-05
460,7,0.00014
480,17,0.00034
500,18,0.00036
520,15,0.0003
540,20,0.0004
560,17,0.00034
580,26,0.00052
600,38,0.00076
630,60,0.0012
660,61,0.00122
690,53,0.00106
720,67,0.00134
750,68,0.00136
780,65,0.0013
810,61,0.00122
840,64,0.00128
870,61,0.00122
900,157,0.00314
950,144,0.00288
1000,158,0.00316
1050,159,0.00318
1100,156,0.00312
1150,177,0.00354
1200,174,0.00348
1250,260,0.0052
1310,240,0.0048
1370,272,0.00544
1430,310,0.0062
1490,315,0.0063
1550,375,0.0075
1610,386,0.00772
1680,469,0.00938
1750,465,0.0093
1820,439,0.00878
1890,603,0.01206
1970,576,0.01152
2050,640,0.0128
