"Bin "," nEvents "," Efficiencies"
152.41,239,"0.00496   "
165.05,294,"0.00544   "
178.75,332,0.00601333
193.57,365,"0.00746   "
209.63,435,"0.00856   "
227.02,503,0.00969334
245.86,578,0.01109333
266.25,635,0.01318667
288.34,677,0.01318667
312.26,731,0.01488667
338.16,802,0.01573334
366.21,900,0.01758667
396.59,951,"0.01868   "
429.49,1064,0.02048667
465.12,1084,"0.02298   "
503.71,1212,0.02351333
545.49,1236,"0.02336   "
590.74,1286,0.02538667
639.75,1420,0.02661334
692.82,1376,"0.02816   "
750.29,1503,0.02898667
812.54,1512,"0.0298    "
879.94,1526,"0.0294    "
952.94,1437,0.02907333
1032,1501,"0.02904   "
1117.6,1413,0.02818666
1210.3,1492,0.02831333
1310.7,1309,0.02728667
1419.4,1310,0.02593334
1537.2,1254,"0.02278   "
1664.7,1129,"0.02182   "
1802.8,944,"0.01808   "
1952.4,812,"0.01536   "
2114.3,686,"0.01336   "
2289.7,545,0.01083333
2479.7,445,0.00908
