Bin , nEvents , Efficiencies
152.41,223,0.00446
165.05,249,0.00498
178.75,301,0.00602
193.57,386,0.00772
209.63,463,0.00926
227.02,506,0.01012
245.86,553,0.01106
266.25,654,0.01308
288.34,608,0.01216
312.26,721,0.01442
338.16,798,0.01596
366.21,832,0.01664
396.59,898,0.01796
429.49,1004,0.02008
465.12,1089,0.02178
503.71,1155,0.0231
545.49,1303,0.02606
590.74,1249,0.02498
639.75,1290,0.0258
692.82,1337,0.02674
750.29,1438,0.02876
812.54,1462,0.02924
879.94,1436,0.02872
952.94,1446,0.02892
1032,1469,0.02938
1117.6,1502,0.03004
1210.3,1501,0.03002
1310.7,1354,0.02708
1419.4,1319,0.02638
1537.2,1219,0.02438
1664.7,1119,0.02238
1802.8,1004,0.02008
1952.4,919,0.01838
2114.3,781,0.01562
2289.7,594,0.01188
2479.7,509,0.01018
