Bin , nEvents , Efficiencies
150,142,0.00284
160,165,0.0033
170,155,0.0031
180,161,0.00322
190,171,0.00342
200,309,0.00618
220,324,0.00648
240,417,0.00834
260,389,0.00778
280,413,0.00826
300,411,0.00822
320,397,0.00794
340,386,0.00772
360,360,0.0072
380,377,0.00754
400,419,0.00838
420,420,0.0084
440,369,0.00738
460,413,0.00826
480,368,0.00736
500,391,0.00782
520,397,0.00794
540,388,0.00776
560,377,0.00754
580,377,0.00754
600,557,0.01114
630,539,0.01078
660,482,0.00964
690,531,0.01062
720,520,0.0104
750,449,0.00898
780,442,0.00884
810,407,0.00814
840,463,0.00926
870,410,0.0082
900,679,0.01358
950,598,0.01196
1000,549,0.01098
1050,542,0.01084
1100,462,0.00924
1150,485,0.0097
1200,422,0.00844
1250,491,0.00982
1310,416,0.00832
1370,434,0.00868
1430,371,0.00742
1490,354,0.00708
1550,300,0.006
1610,336,0.00672
1680,285,0.0057
1750,248,0.00496
1820,213,0.00426
1890,222,0.00444
1970,188,0.00376
2050,169,0.00338
