Mass,LM11L,LM21L,LM31L,LM11R,LM21R,LM31R,LM12L,LM22L,LM32L,LM12R,LM22R,LM32R,LM13L,LM23L,LM33L,LM13R,LM23R,LM33R
1000,1.95604889901582E-05,2.33336461578554E-06,,1.15218440227292E-05,2.05087772356131E-06,,1.95604889901582E-05,2.33336461578554E-06,,1.15218440227292E-05,2.05087772356131E-06,,1.67028202182775E-05,2.29995036692099E-06,,1.06538036613268E-05,2.04128879196453E-06,
1500,8.9211420237024E-07,1.05350709094384E-07,,6.95093093384397E-07,1.01928224720583E-07,,8.9211420237024E-07,1.05350709094384E-07,,6.95093093384397E-07,1.01928224720583E-07,,8.48805976457924E-07,1.0571438140428E-07,,6.98948939745021E-07,1.04115933337264E-07,
2000,5.53395541328132E-08,6.79488340775351E-09,,3.81956741872501E-08,6.64571393581337E-09,,5.53395541328132E-08,6.79488340775351E-09,,3.81956741872501E-08,6.64571393581337E-09,,8.48513236468269E-08,6.82717786871442E-09,,6.74924551162466E-08,6.67645252511871E-09,
2500,5.98899780364949E-09,5.83150761826196E-10,,5.22007089339967E-09,5.34394134686631E-10,,5.98899780364949E-09,5.83150761826196E-10,,5.22007089339967E-09,5.34394134686631E-10,,5.43193267374684E-09,5.79282192557714E-10,,4.1898407848173E-09,5.34396263005715E-10,
3000,6.66910851405659E-10,3.63309205308805E-11,,4.45517917622424E-10,3.4219717357558E-11,,6.66910851405659E-10,3.63309205308805E-11,,4.45517917622424E-10,3.4219717357558E-11,,3.81832872239441E-10,3.63114357302594E-11,,2.10903224780043E-10,3.42151360976799E-11,
4000,4.65428663171979E-12,7.96700515128207E-13,,3.7080569602159E-12,5.39700164417068E-13,,4.65428663171979E-12,7.96700515128207E-13,,3.7080569602159E-12,5.39700164417068E-13,,4.40828996666571E-12,7.95054028452078E-13,,3.24057016128421E-12,5.39700166812905E-13,
5000,1.27127349598741E-14,1.75874935894912E-15,,1.02982852601782E-14,1.73190000012012E-15,,1.27127349598741E-14,1.75874935894912E-15,,1.02982852601782E-14,1.73190000012012E-15,,9.88115192728075E-15,1.75874798632012E-15,,9.05139561504213E-15,1.73190000028439E-15,
