Mass,LM11L,LM21L,LM31L,LM11R,LM21R,LM31R,LM12L,LM22L,LM32L,LM12R,LM22R,LM32R,LM13L,LM23L,LM33L,LM13R,LM23R,LM33R
1000,0.00048186,3.0913E-05,,0.00048186,3.0913E-05,,0.00048186,3.0913E-05,,0.00048186,3.0913E-05,,0.00035092,2.4403E-05,,0.00035092,2.4403E-05,
1500,9.5939E-05,5.9438E-06,,9.5939E-05,5.9438E-06,,9.5939E-05,5.9438E-06,,9.5939E-05,5.9438E-06,,0.008786,4.9804E-06,,0.008786,4.9804E-06,
2000,0.0021394,1.3927E-06,,0.0021394,1.3927E-06,,0.0021394,1.3927E-06,,0.0021394,1.3927E-06,,4.4781E-05,1.3755E-06,,4.4781E-05,1.3755E-06,
2500,0.0013112,8.8644E-07,,0.0013112,8.8644E-07,,0.0013112,8.8644E-07,,0.0013112,8.8644E-07,,0.0013239,4.165E-05,,0.0013239,4.165E-05,
3000,0.0005943,3.5977E-07,,0.0005943,3.5977E-07,,0.0005943,3.5977E-07,,0.0005943,3.5977E-07,,5.381E-06,4.8012E-07,,5.381E-06,4.8012E-07,
4000,0.00016128,1.0689E-07,,0.00016128,1.0689E-07,,0.00016128,1.0689E-07,,0.00016128,1.0689E-07,,0.00015557,1.2876E-07,,0.00015557,1.2876E-07,
5000,9.092E-05,7.1343E-08,,9.092E-05,7.1343E-08,,9.092E-05,7.1343E-08,,9.092E-05,7.1343E-08,,6.0358E-07,6.0215E-08,,6.0358E-07,6.0215E-08,
