Mass,LM11L,LM21L,LM31L,LM11R,LM21R,LM31R,LM12L,LM22L,LM32L,LM12R,LM22R,LM32R,LM13L,LM23L,LM33L,LM13R,LM23R,LM33R
1000,0.0043000733,0.0043000733,0.0043000733,0.0043000733,0.0043000733,0.0043000733,0.004300,0.0043000733,0.0043000733,0.0043000733,0.0043000733,0.0043000733,0.0043000733,0.0043000733,0.0043000733,0.0043000733,0.0043000733,0.0043000733
1500,0.000164290964,0.000164290964,0.000164290964,0.000164290964,0.000164290964,0.000164290964,0.000164290964,0.000164290964,0.000164290964,0.000164290964,0.000164290964,0.000164290964,0.000164290964,0.000164290964,0.000164290964,0.000164290964,0.000164290964,0.000164290964
2000,9.1023291E-06,9.1023291E-06,9.1023291E-06,9.1023291E-06,9.1023291E-06,9.1023291E-06,9.14e-06,9.1023291E-06,9.1023291E-06,9.1023291E-06,9.1023291E-06,9.1023291E-06,9.1023291E-06,9.1023291E-06,9.1023291E-06,9.1023291E-06,9.1023291E-06,9.1023291E-06
2500,5.75120578E-07,5.75120578E-07,5.75120578E-07,5.75120578E-07,5.75120578E-07,5.75120578E-07,5.75120578E-07,5.75120578E-07,5.75120578E-07,5.75120578E-07,5.75120578E-07,5.75120578E-07,5.75120578E-07,5.75120578E-07,5.75120578E-07,5.75120578E-07,5.75120578E-07,5.75120578E-07
3000,3.93235936E-08,3.93235936E-08,3.93235936E-08,3.93235936E-08,3.93235936E-08,3.93235936E-08,3.91e-08,3.93235936E-08,3.93235936E-08,3.93235936E-08,3.93235936E-08,3.93235936E-08,3.93235936E-08,3.93235936E-08,3.93235936E-08,3.93235936E-08,3.93235936E-08,3.93235936E-08
4000,2.248746934E-10,2.248746934E-10,2.248746934E-10,2.248746934E-10,2.248746934E-10,2.248746934E-10,2.248746934E-10,2.248746934E-10,2.248746934E-10,2.248746934E-10,2.248746934E-10,2.248746934E-10,2.248746934E-10,2.248746934E-10,2.248746934E-10,2.248746934E-10,2.248746934E-10,2.248746934E-10
5000,4.38087540039E-13,4.38087540039E-13,4.38087540039E-13,4.38087540039E-13,4.38087540039E-13,4.38087540039E-13,4.38087540039E-13,4.38087540039E-13,4.38087540039E-13,4.38087540039E-13,4.38087540039E-13,4.38087540039E-13,4.38087540039E-13,4.38087540039E-13,4.38087540039E-13,4.38087540039E-13,4.38087540039E-13,4.38087540039E-13
