150,1021,0.02042
160,921,0.01842
170,847,0.01694
180,745,0.0149
190,699,0.01398
200,1266,0.02532
220,1105,0.0221
240,978,0.01956
260,794,0.01588
280,741,0.01482
300,617,0.01234
320,589,0.01178
340,480,0.0096
360,457,0.00914
380,432,0.00864
400,385,0.0077
420,360,0.0072
440,304,0.00608
460,254,0.00508
480,230,0.0046
500,210,0.0042
520,191,0.00382
540,171,0.00342
560,169,0.00338
580,131,0.00262
600,218,0.00436
630,174,0.00348
660,176,0.00352
690,140,0.0028
720,133,0.00266
750,102,0.00204
780,100,0.002
810,94,0.00188
840,65,0.0013
870,71,0.00142
900,99,0.00198
950,69,0.00138
1000,57,0.00114
1050,70,0.0014
1100,48,0.00096
1150,46,0.00092
1200,32,0.00064
1250,28,0.00056
1310,41,0.00082
1370,27,0.00054
1430,19,0.00038
1490,14,0.00028
1550,12,0.00024
1610,17,0.00034
1680,7,0.00014
1750,2,4e-05
1820,4,8e-05
1890,1,2e-05
1970,1,2e-05
2050,3,6e-05
