Bin , nEvents , Efficiencies
150,82,0.00164
200,131,0.00262
250,123,0.00246
300,92,0.00184
350,86,0.00172
400,50,0.001
450,44,0.00088
500,61,0.00122
600,36,0.00072
700,34,0.00068
800,14,0.00028
900,6,0.00012
1000,8,0.00016
1150,9,0.00018
