Bin , nEvents , Efficiencies
150,0,0
160,0,0
170,0,0
180,0,0
190,0,0
200,0,0
220,1,2e-05
240,1,2e-05
260,1,2e-05
280,2,4e-05
300,1,2e-05
320,0,0
340,0,0
360,1,2e-05
380,1,2e-05
400,0,0
420,5,0.0001
440,0,0
460,4,8e-05
480,5,0.0001
500,8,0.00016
520,4,8e-05
540,8,0.00016
560,13,0.00026
580,9,0.00018
600,26,0.00052
630,29,0.00058
660,35,0.0007
690,44,0.00088
720,43,0.00086
750,45,0.0009
780,56,0.00112
810,45,0.0009
840,49,0.00098
870,53,0.00106
900,101,0.00202
950,101,0.00202
1000,93,0.00186
1050,107,0.00214
1100,134,0.00268
1150,138,0.00276
1200,144,0.00288
1250,185,0.0037
1310,191,0.00382
1370,187,0.00374
1430,225,0.0045
1490,231,0.00462
1550,247,0.00494
1610,304,0.00608
1680,296,0.00592
1750,306,0.00612
1820,325,0.0065
1890,424,0.00848
1970,477,0.00954
2050,463,0.00926
