Bin , nEvents , Efficiencies
150,1,2e-05
200,10,0.0002
250,6,0.00012
300,8,0.00016
350,3,6e-05
400,4,8e-05
450,1,2e-05
500,0,0
550,1,2e-05
650,3,6e-05
