Bin , nEvents , Efficiencies
152.41,0,0
165.05,1,2e-05
178.75,5,0.0001
193.57,10,0.0002
209.63,14,0.00028
227.02,13,0.00026
245.86,20,0.0004
266.25,26,0.00052
288.34,29,0.00058
312.26,45,0.0009
338.16,61,0.00122
366.21,93,0.00186
396.59,132,0.00264
429.49,165,0.0033
465.12,214,0.00428
503.71,227,0.00454
545.49,305,0.0061
590.74,349,0.00698
639.75,403,0.00806
692.82,513,0.01026
750.29,611,0.01222
812.54,640,0.0128
879.94,724,0.01448
952.94,810,0.0162
1032,999,0.01998
1117.6,1112,0.02224
1210.3,1190,0.0238
1310.7,1412,0.02824
1419.4,1587,0.03174
1537.2,1712,0.03424
1664.7,1789,0.03578
1802.8,1883,0.03766
1952.4,1931,0.03862
2114.3,1897,0.03794
2289.7,1806,0.03612
2479.7,1724,0.03448
