Bin , nEvents , Efficiencies
152.41,4,8e-05
165.05,6,0.00012
178.75,8,0.00016
193.57,13,0.00026
209.63,19,0.00038
227.02,23,0.00046
245.86,36,0.00072
266.25,63,0.00126
288.34,82,0.00164
312.26,112,0.00224
338.16,148,0.00296
366.21,190,0.0038
396.59,245,0.0049
429.49,300,0.006
465.12,339,0.00678
503.71,378,0.00756
545.49,433,0.00866
590.74,494,0.00988
639.75,632,0.01264
692.82,756,0.01512
750.29,829,0.01658
812.54,945,0.0189
879.94,1038,0.02076
952.94,1258,0.02516
1032,1310,0.0262
1117.6,1544,0.03088
1210.3,1644,0.03288
1310.7,1852,0.03704
1419.4,1913,0.03826
1537.2,2022,0.04044
1664.7,2085,0.0417
1802.8,2013,0.04026
1952.4,1994,0.03988
2114.3,1839,0.03678
2289.7,1731,0.03462
2479.7,1427,0.02854
