Bin , nEvents , Efficiencies
150,1024,0.02048
160,978,0.01956
170,874,0.01748
180,773,0.01546
190,692,0.01384
200,1154,0.02308
220,1042,0.02084
240,844,0.01688
260,798,0.01596
280,656,0.01312
300,564,0.01128
320,486,0.00972
340,453,0.00906
360,408,0.00816
380,353,0.00706
400,310,0.0062
420,285,0.0057
440,252,0.00504
460,228,0.00456
480,238,0.00476
500,199,0.00398
520,176,0.00352
540,172,0.00344
560,135,0.0027
580,123,0.00246
600,193,0.00386
630,160,0.0032
660,148,0.00296
690,115,0.0023
720,130,0.0026
750,102,0.00204
780,83,0.00166
810,70,0.0014
840,72,0.00144
870,68,0.00136
900,110,0.0022
950,86,0.00172
1000,71,0.00142
1050,60,0.0012
1100,57,0.00114
1150,42,0.00084
1200,38,0.00076
1250,41,0.00082
1310,49,0.00098
1370,36,0.00072
1430,22,0.00044
1490,24,0.00048
1550,25,0.0005
1610,15,0.0003
1680,19,0.00038
1750,14,0.00028
1820,8,0.00016
1890,13,0.00026
1970,13,0.00026
2050,9,0.00018
