Bin , nEvents , Efficiencies
152.41,5,0.0001
165.05,6,0.00012
178.75,4,8e-05
193.57,13,0.00026
209.63,20,0.0004
227.02,26,0.00052
245.86,42,0.00084
266.25,63,0.00126
288.34,100,0.002
312.26,115,0.0023
338.16,167,0.00334
366.21,172,0.00344
396.59,223,0.00446
429.49,294,0.00588
465.12,362,0.00724
503.71,383,0.00766
545.49,444,0.00888
590.74,511,0.01022
639.75,577,0.01154
692.82,714,0.01428
750.29,803,0.01606
812.54,952,0.01904
879.94,1055,0.0211
952.94,1198,0.02396
1032,1379,0.02758
1117.6,1455,0.0291
1210.3,1714,0.03428
1310.7,1831,0.03662
1419.4,1996,0.03992
1537.2,2115,0.0423
1664.7,2147,0.04294
1802.8,2288,0.04576
1952.4,2272,0.04544
2114.3,2201,0.04402
2289.7,2068,0.04136
2479.7,1899,0.03798
