Bin , nEvents , Efficiencies
152.41,0,0
165.05,3,6e-05
178.75,1,2e-05
193.57,2,4e-05
209.63,7,0.00014
227.02,5,0.0001
245.86,10,0.0002
266.25,11,0.00022
288.34,15,0.0003
312.26,17,0.00034
338.16,24,0.00048
366.21,44,0.00088
396.59,52,0.00104
429.49,90,0.0018
465.12,116,0.00232
503.71,133,0.00266
545.49,205,0.0041
590.74,234,0.00468
639.75,303,0.00606
692.82,376,0.00752
750.29,429,0.00858
812.54,499,0.00998
879.94,559,0.01118
952.94,636,0.01272
1032,771,0.01542
1117.6,938,0.01876
1210.3,988,0.01976
1310.7,1234,0.02468
1419.4,1429,0.02858
1537.2,1518,0.03036
1664.7,1800,0.036
1802.8,1905,0.0381
1952.4,2120,0.0424
2114.3,2207,0.04414
2289.7,2358,0.04716
2479.7,2402,0.04804
