Bin , nEvents , Efficiencies
50,3,6e-05
70,2,4e-05
80,1,2e-05
90,2,4e-05
100,2,4e-05
120,2,4e-05
140,2,4e-05
160,5,0.0001
180,3,6e-05
200,7,0.00014
220,1,2e-05
240,5,0.0001
260,3,6e-05
280,4,8e-05
300,3,6e-05
320,5,0.0001
340,0,0
360,1,2e-05
400,8,0.00016
500,11,0.00022
600,14,0.00028
700,7,0.00014
800,54,0.00108
