"Bin "," nEvents "," Efficiencies"
"152.41","1580","0.03204   "
"165.05","1440","0.03131333"
"178.75","1526","0.02954   "
"193.57","1470","0.02905333"
"209.63","1351","0.0277    "
"227.02","1187","0.02478   "
"245.86","1287","0.02391333"
"266.25","1105","0.02293333"
"288.34","1076","0.02180667"
"312.26","930","0.01891333"
"338.16","900","0.01823333"
"366.21","809","0.01662   "
"396.59","778","0.01520667"
"429.49","660","0.01443333"
"465.12","611","0.01221333"
"503.71","566","0.01099333"
"545.49","490","0.00987333"
"590.74","491","0.00864667"
"639.75","390","0.00838   "
"692.82","383","0.00713333"
"750.29","303","0.00589333"
"812.54","259","0.0058    "
"879.94","211","0.00526   "
"952.94","227","0.00408   "
"1032","201","0.0033    "
"1117.6","134","0.00289333"
"1210.3","108","0.00234   "
"1310.7","94","0.00196   "
"1419.4","79","0.00146   "
"1537.2","53","0.00118   "
"1664.7","42","0.00094667"
"1802.8","31","0.00057333"
"1952.4","17","0.0006    "
"2114.3","19","0.00019333"
"2289.7","10","0.0003    "
"2479.7","10","0.00018"
