Bin , nEvents , Efficiencies
152.41,1688,0.03376
165.05,1532,0.03064
178.75,1504,0.03008
193.57,1487,0.02974
209.63,1431,0.02862
227.02,1310,0.0262
245.86,1260,0.0252
266.25,1224,0.02448
288.34,1072,0.02144
312.26,1049,0.02098
338.16,967,0.01934
366.21,873,0.01746
396.59,768,0.01536
429.49,702,0.01404
465.12,652,0.01304
503.71,624,0.01248
545.49,498,0.00996
590.74,447,0.00894
639.75,434,0.00868
692.82,375,0.0075
750.29,330,0.0066
812.54,276,0.00552
879.94,246,0.00492
952.94,223,0.00446
1032,174,0.00348
1117.6,142,0.00284
1210.3,141,0.00282
1310.7,115,0.0023
1419.4,83,0.00166
1537.2,74,0.00148
1664.7,56,0.00112
1802.8,51,0.00102
1952.4,33,0.00066
2114.3,27,0.00054
2289.7,18,0.00036
2479.7,11,0.00022
