150,130,0.0026
160,167,0.00334
170,154,0.00308
180,151,0.00302
190,173,0.00346
200,320,0.0064
220,337,0.00674
240,398,0.00796
260,358,0.00716
280,392,0.00784
300,410,0.0082
320,423,0.00846
340,386,0.00772
360,363,0.00726
380,387,0.00774
400,400,0.008
420,420,0.0084
440,375,0.0075
460,426,0.00852
480,406,0.00812
500,421,0.00842
520,377,0.00754
540,392,0.00784
560,363,0.00726
580,358,0.00716
600,571,0.01142
630,537,0.01074
660,501,0.01002
690,529,0.01058
720,522,0.01044
750,447,0.00894
780,400,0.008
810,457,0.00914
840,433,0.00866
870,405,0.0081
900,644,0.01288
950,622,0.01244
1000,581,0.01162
1050,558,0.01116
1100,469,0.00938
1150,467,0.00934
1200,430,0.0086
1250,456,0.00912
1310,430,0.0086
1370,374,0.00748
1430,384,0.00768
1490,314,0.00628
1550,281,0.00562
1610,331,0.00662
1680,258,0.00516
1750,264,0.00528
1820,226,0.00452
1890,212,0.00424
1970,178,0.00356
2050,164,0.00328
