"Bin "," nEvents "," Efficiencies"
"150","158","0.0031 "
"160","149","0.00302"
"170","155","0.00332"
"180","150","0.00339"
"190","159","0.00312"
"200","352","0.00736"
"220","367","0.00787"
"240","373","0.00748"
"260","414","0.0081 "
"280","423","0.00874"
"300","376","0.00833"
"320","394","0.00799"
"340","365","0.00803"
"360","438","0.00834"
"380","399","0.00782"
"400","423","0.00796"
"420","388","0.00865"
"440","409","0.00802"
"460","426","0.00729"
"480","365","0.00745"
"500","395","0.00793"
"520","393","0.00749"
"540","333","0.00773"
"560","382","0.00704"
"580","392","0.00725"
"600","537","0.01054"
"630","469","0.00986"
"660","479","0.01038"
"690","489","0.00939"
"720","453","0.00992"
"750","419","0.00877"
"780","451","0.00863"
"810","415","0.0086 "
"840","379","0.00791"
"870","392","0.00738"
"900","635","0.01243"
"950","591","0.01152"
"1000","558","0.01047"
"1050","497","0.00997"
"1100","459","0.00921"
"1150","438","0.0086 "
"1200","415","0.00849"
"1250","455","0.00913"
"1310","412","0.00776"
"1370","434","0.00727"
"1430","358","0.00724"
"1490","305","0.00633"
"1550","268","0.00599"
"1610","325","0.00696"
"1680","282","0.00591"
"1750","232","0.00528"
"1820","266","0.00482"
"1890","238","0.00498"
"1970","236","0.00402"
"2050","189","0.00359"
