Bin , nEvents , Efficiencies
50,13,0.00026
70,1,2e-05
80,1,2e-05
90,2,4e-05
100,9,0.00018
120,9,0.00018
140,8,0.00016
160,7,0.00014
180,7,0.00014
200,4,8e-05
220,7,0.00014
240,7,0.00014
260,9,0.00018
280,6,0.00012
300,8,0.00016
320,9,0.00018
340,7,0.00014
360,15,0.0003
400,27,0.00054
500,42,0.00084
600,43,0.00086
700,42,0.00084
800,218,0.00436
