Bin , nEvents , Efficiencies
150,46,0.00092
160,49,0.00098
170,68,0.00136
180,68,0.00136
190,67,0.00134
200,190,0.0038
220,195,0.0039
240,192,0.00384
260,230,0.0046
280,238,0.00476
300,245,0.0049
320,289,0.00578
340,285,0.0057
360,296,0.00592
380,371,0.00742
400,334,0.00668
420,335,0.0067
440,359,0.00718
460,356,0.00712
480,392,0.00784
500,375,0.0075
520,402,0.00804
540,396,0.00792
560,431,0.00862
580,452,0.00904
600,620,0.0124
630,701,0.01402
660,692,0.01384
690,665,0.0133
720,630,0.0126
750,669,0.01338
780,670,0.0134
810,578,0.01156
840,646,0.01292
870,594,0.01188
900,988,0.01976
950,875,0.0175
1000,812,0.01624
1050,759,0.01518
1100,720,0.0144
1150,623,0.01246
1200,539,0.01078
1250,601,0.01202
1310,536,0.01072
1370,456,0.00912
1430,420,0.0084
1490,351,0.00702
1550,330,0.0066
1610,299,0.00598
1680,258,0.00516
1750,195,0.0039
1820,184,0.00368
1890,145,0.0029
1970,153,0.00306
2050,115,0.0023
