Bin , nEvents , Efficiencies
50,2,4e-05
100,2,4e-05
150,1,2e-05
200,2,4e-05
250,2,4e-05
300,1,2e-05
350,3,6e-05
400,0,0
500,0,0
600,2,4e-05
