"Bin "," nEvents "," Efficiencies"
"152.41","0","0.00000000e+00"
"165.05","1","0.00000000e+00"
"178.75","1","6.66666667e-06"
"193.57","0","2.00000000e-05"
"209.63","1","5.33333333e-05"
"227.02","3","7.33333333e-05"
"245.86","4","1.33333333e-05"
"266.25","3","3.33333333e-05"
"288.34","4","1.93333333e-04"
"312.26","7","2.66666667e-04"
"338.16","3","3.13333333e-04"
"366.21","11","4.20000000e-04"
"396.59","20","7.73333333e-04"
"429.49","41","1.38666667e-03"
"465.12","54","1.63333333e-03"
"503.71","70","1.84000000e-03"
"545.49","124","2.39333333e-03"
"590.74","145","3.04000000e-03"
"639.75","156","3.56000000e-03"
"692.82","212","3.98666667e-03"
"750.29","234","5.20666667e-03"
"812.54","284","6.65333333e-03"
"879.94","322","7.76000000e-03"
"952.94","410","9.29333333e-03"
"1032","467","1.08400000e-02"
"1117.6","625","1.26000000e-02"
"1210.3","662","1.60066667e-02"
"1310.7","896","1.93533333e-02"
"1419.4","1065","2.34333333e-02"
"1537.2","1292","2.78866667e-02"
"1664.7","1557","3.26000000e-02"
"1802.8","1894","3.59666667e-02"
"1952.4","2394","4.05733333e-02"
"2114.3","2496","4.49533333e-02"
"2289.7","2851","4.60866667e-02"
"2479.7","2978","4.51666667e-02"
