Bin , nEvents , Efficiencies
152.41,90,0.0018
165.05,99,0.00198
178.75,141,0.00282
193.57,171,0.00342
209.63,189,0.00378
227.02,244,0.00488
245.86,304,0.00608
266.25,362,0.00724
288.34,465,0.0093
312.26,519,0.01038
338.16,592,0.01184
366.21,717,0.01434
396.59,823,0.01646
429.49,900,0.018
465.12,997,0.01994
503.71,1125,0.0225
545.49,1324,0.02648
590.74,1447,0.02894
639.75,1560,0.0312
692.82,1733,0.03466
750.29,1853,0.03706
812.54,1933,0.03866
879.94,1983,0.03966
952.94,2081,0.04162
1032,1934,0.03868
1117.6,1980,0.0396
1210.3,1809,0.03618
1310.7,1731,0.03462
1419.4,1516,0.03032
1537.2,1309,0.02618
1664.7,1097,0.02194
1802.8,932,0.01864
1952.4,676,0.01352
2114.3,516,0.01032
2289.7,390,0.0078
2479.7,268,0.00536
