Bin , nEvents , Efficiencies
50,8,0.00016
100,7,0.00014
150,14,0.00028
200,9,0.00018
250,16,0.00032
300,5,0.0001
350,6,0.00012
400,12,0.00024
500,9,0.00018
600,25,0.0005
