Bin , nEvents , Efficiencies
50,25,0.0005
70,6,0.00012
80,14,0.00028
90,9,0.00018
100,20,0.0004
120,24,0.00048
140,22,0.00044
160,13,0.00026
180,15,0.0003
200,15,0.0003
220,26,0.00052
240,14,0.00028
260,14,0.00028
280,16,0.00032
300,7,0.00014
320,19,0.00038
340,22,0.00044
360,27,0.00054
400,82,0.00164
500,62,0.00124
600,50,0.001
700,52,0.00104
800,201,0.00402
