Bin , nEvents , Efficiencies
150,0,0
160,0,0
170,0,0
180,0,0
190,0,0
200,1,2e-05
220,0,0
240,1,2e-05
260,0,0
280,0,0
300,1,2e-05
320,1,2e-05
340,2,4e-05
360,0,0
380,1,2e-05
400,2,4e-05
420,2,4e-05
440,1,2e-05
460,2,4e-05
480,5,0.0001
500,1,2e-05
520,6,0.00012
540,3,6e-05
560,2,4e-05
580,7,0.00014
600,7,0.00014
630,9,0.00018
660,12,0.00024
690,22,0.00044
720,17,0.00034
750,16,0.00032
780,16,0.00032
810,24,0.00048
840,35,0.0007
870,35,0.0007
900,52,0.00104
950,67,0.00134
1000,77,0.00154
1050,71,0.00142
1100,79,0.00158
1150,82,0.00164
1200,93,0.00186
1250,107,0.00214
1310,114,0.00228
1370,130,0.0026
1430,117,0.00234
1490,154,0.00308
1550,139,0.00278
1610,183,0.00366
1680,203,0.00406
1750,203,0.00406
1820,242,0.00484
1890,269,0.00538
1970,299,0.00598
2050,298,0.00596
