Bin , nEvents , Efficiencies
150,962,0.01924
160,905,0.0181
170,804,0.01608
180,695,0.0139
190,617,0.01234
200,1107,0.02214
220,1039,0.02078
240,829,0.01658
260,803,0.01606
280,680,0.0136
300,589,0.01178
320,573,0.01146
340,485,0.0097
360,448,0.00896
380,390,0.0078
400,343,0.00686
420,322,0.00644
440,266,0.00532
460,273,0.00546
480,218,0.00436
500,192,0.00384
520,229,0.00458
540,205,0.0041
560,153,0.00306
580,166,0.00332
600,206,0.00412
630,205,0.0041
660,145,0.0029
690,143,0.00286
720,119,0.00238
750,109,0.00218
780,108,0.00216
810,95,0.0019
840,66,0.00132
870,80,0.0016
900,104,0.00208
950,84,0.00168
1000,68,0.00136
1050,76,0.00152
1100,57,0.00114
1150,46,0.00092
1200,35,0.0007
1250,34,0.00068
1310,38,0.00076
1370,28,0.00056
1430,26,0.00052
1490,15,0.0003
1550,16,0.00032
1610,7,0.00014
1680,17,0.00034
1750,12,0.00024
1820,10,0.0002
1890,6,0.00012
1970,5,0.0001
2050,6,0.00012
