"Bin "," nEvents "," Efficiencies"
"150","0","2.5000e-05"
"160","2","1.5000e-05"
"170","0","4.0000e-05"
"180","0","4.5000e-05"
"190","0","5.5000e-05"
"200","1","1.0000e-04"
"220","5","2.3000e-04"
"240","1","3.4500e-04"
"260","2","3.5500e-04"
"280","3","4.0500e-04"
"300","1","4.1000e-04"
"320","1","5.1500e-04"
"340","4","5.3000e-04"
"360","6","6.4000e-04"
"380","8","6.8500e-04"
"400","10","7.3500e-04"
"420","17","7.5500e-04"
"440","17","7.4000e-04"
"460","19","7.7000e-04"
"480","27","8.8000e-04"
"500","31","1.1650e-03"
"520","34","1.1250e-03"
"540","33","1.1150e-03"
"560","35","1.2350e-03"
"580","43","1.1450e-03"
"600","52","1.8700e-03"
"630","72","2.1100e-03"
"660","64","2.6300e-03"
"690","71","2.5750e-03"
"720","81","2.6800e-03"
"750","89","2.9000e-03"
"780","71","2.7700e-03"
"810","91","3.2050e-03"
"840","99","3.1500e-03"
"870","101","3.4950e-03"
"900","162","5.3750e-03"
"950","198","5.8800e-03"
"1000","207","5.8500e-03"
"1050","242","6.5200e-03"
"1100","224","6.0850e-03"
"1150","236","6.6700e-03"
"1200","276","5.7400e-03"
"1250","354","7.7100e-03"
"1310","370","8.4850e-03"
"1370","418","7.7400e-03"
"1430","407","7.7100e-03"
"1490","432","8.1750e-03"
"1550","462","7.9650e-03"
"1610","549","9.7450e-03"
"1680","553","9.4700e-03"
"1750","571","9.9000e-03"
"1820","597","9.1050e-03"
"1890","723","1.1310e-02"
"1970","763","1.0875e-02"
"2050","722","1.1810e-02"
