"Bin "," nEvents "," Efficiencies"
"150","0","5.000e-05"
"160","0","3.000e-05"
"170","1","8.000e-05"
"180","1","9.000e-05"
"190","1","1.100e-04"
"200","1","2.000e-04"
"220","4","4.600e-04"
"240","4","6.500e-04"
"260","2","7.100e-04"
"280","5","7.700e-04"
"300","2","8.200e-04"
"320","4","9.900e-04"
"340","14","1.060e-03"
"360","13","1.240e-03"
"380","31","1.250e-03"
"400","29","1.430e-03"
"420","33","1.350e-03"
"440","37","1.360e-03"
"460","50","1.460e-03"
"480","47","1.600e-03"
"500","53","1.970e-03"
"520","48","1.930e-03"
"540","57","2.070e-03"
"560","60","2.190e-03"
"580","72","2.050e-03"
"600","108","3.300e-03"
"630","114","3.660e-03"
"660","133","4.260e-03"
"690","116","4.150e-03"
"720","114","4.240e-03"
"750","130","4.560e-03"
"780","139","4.540e-03"
"810","157","5.090e-03"
"840","158","4.860e-03"
"870","161","5.150e-03"
"900","263","8.550e-03"
"950","275","8.880e-03"
"1000","323","8.860e-03"
"1050","329","9.680e-03"
"1100","325","9.170e-03"
"1150","393","9.620e-03"
"1200","428","9.000e-03"
"1250","512","1.094e-02"
"1310","526","1.149e-02"
"1370","564","1.016e-02"
"1430","570","9.980e-03"
"1490","596","9.910e-03"
"1550","614","1.001e-02"
"1610","741","1.125e-02"
"1680","702","1.054e-02"
"1750","762","1.072e-02"
"1820","777","9.850e-03"
"1890","799","1.134e-02"
"1970","829","1.043e-02"
"2050","838","1.058e-02"
