Bin , nEvents , Efficiencies
150,0,0
160,0,0
170,0,0
180,0,0
190,0,0
200,0,0
220,0,0
240,0,0
260,0,0
280,0,0
300,0,0
320,0,0
340,1,4e-05
360,0,0
380,1,4e-05
400,2,8e-05
420,1,4e-05
440,2,8e-05
460,2,8e-05
480,2,8e-05
500,3,0.00012
520,5,0.0002
540,3,0.00012
560,5,0.0002
580,2,8e-05
600,12,0.00048
630,12,0.00048
660,18,0.00072
690,23,0.00092
720,22,0.00088
750,21,0.00084
780,24,0.00096
810,21,0.00084
840,31,0.00124
870,25,0.001
900,48,0.00192
950,44,0.00176
1000,53,0.00212
1050,55,0.0022
1100,56,0.00224
1150,61,0.00244
1200,74,0.00296
1250,99,0.00396
1310,102,0.00408
1370,87,0.00348
1430,102,0.00408
1490,109,0.00436
1550,120,0.0048
1610,124,0.00496
1680,142,0.00568
1750,169,0.00676
1820,173,0.00692
1890,183,0.00732
1970,223,0.00892
2050,234,0.00936
