Bin , nEvents , Efficiencies
150,23,0.00046
160,35,0.0007
170,34,0.00068
180,35,0.0007
190,53,0.00106
200,80,0.0016
220,141,0.00282
240,127,0.00254
260,136,0.00272
280,111,0.00222
300,173,0.00346
320,174,0.00348
340,188,0.00376
360,191,0.00382
380,202,0.00404
400,208,0.00416
420,183,0.00366
440,238,0.00476
460,208,0.00416
480,264,0.00528
500,262,0.00524
520,275,0.0055
540,247,0.00494
560,288,0.00576
580,284,0.00568
600,424,0.00848
630,443,0.00886
660,434,0.00868
690,417,0.00834
720,435,0.0087
750,428,0.00856
780,507,0.01014
810,446,0.00892
840,444,0.00888
870,472,0.00944
900,743,0.01486
950,731,0.01462
1000,683,0.01366
1050,688,0.01376
1100,708,0.01416
1150,672,0.01344
1200,622,0.01244
1250,656,0.01312
1310,661,0.01322
1370,658,0.01316
1430,661,0.01322
1490,549,0.01098
1550,488,0.00976
1610,585,0.0117
1680,538,0.01076
1750,466,0.00932
1820,394,0.00788
1890,438,0.00876
1970,391,0.00782
2050,363,0.00726
