Bin , nEvents , Efficiencies
150,1, 0.00e+00
160,0, 0.00e+00
170,0,-2.00e-05
180,0, 0.00e+00
190,0, 4.00e-05
200,0,-4.00e-05
220,2,-4.00e-05
240,0,-2.00e-05
260,0,-2.00e-05
280,0,-2.00e-05
300,0,-2.00e-05
320,1,-2.00e-05
340,2,-6.00e-05
360,2, 0.00e+00
380,0, 2.00e-05
400,1,-6.00e-05
420,2,-2.00e-05
440,1,-1.00e-04
460,0, 0.00e+00
480,0,-2.00e-05
500,6,-8.00e-05
520,6, 2.00e-05
540,3,-6.00e-05
560,4,-1.80e-04
580,2,-1.40e-04
600,12,-4.00e-05
630,15, 6.00e-05
660,17, 4.60e-04
690,12, 2.20e-04
720,20, 1.20e-04
750,43, 3.80e-04
780,30, 6.00e-04
810,31, 6.40e-04
840,35, 2.40e-04
870,50, 6.00e-05
900,65, 1.92e-03
950,59, 1.44e-03
1000,86, 1.04e-03
1050,91, 1.16e-03
1100,97, 1.70e-03
1150,103, 1.92e-03
1200,116, 1.34e-03
1250,122, 2.12e-03
1310,123, 2.22e-03
1370,138, 3.42e-03
1430,165, 2.06e-03
1490,165, 2.46e-03
1550,182, 3.04e-03
1610,235, 3.94e-03
1680,220, 3.80e-03
1750,248, 3.42e-03
1820,271, 2.76e-03
1890,312, 5.18e-03
1970,337, 3.80e-03
2050,396, 7.00e-03
