bin_HH,nEvents,Efficiencies
150,1680,0.00168
200,2739,0.002739
250,2145,0.002145
300,1585,0.001585
350,1160,0.00116
400,871,0.000871
450,684,0.000684
500,952,0.000952
600,612,0.000612
700,376,0.000376
800,239,0.000239
900,165,0.000165
1000,162,0.000162
1150,192,0.000192
