bin_HH,nEvents,Efficiencies
50,74,7.4e-05
100,127,0.000127
150,74,7.4e-05
200,51,5.1e-05
250,34,3.4e-05
300,32,3.2e-05
350,29,2.9e-05
400,32,3.2e-05
500,20,2e-05
600,45,4.5e-05
