bin_HH,nEvents,Efficiencies
50,413,0.000413
70,830,0.00083
80,1303,0.001303
90,1506,0.001506
100,2843,0.002843
120,1981,0.001981
140,1550,0.00155
160,1203,0.001203
180,1010,0.00101
200,811,0.000811
220,664,0.000664
240,635,0.000635
260,470,0.00047
280,442,0.000442
300,389,0.000389
320,305,0.000305
340,282,0.000282
360,424,0.000424
400,829,0.000829
500,491,0.000491
600,282,0.000282
700,176,0.000176
800,386,0.000386
