Bin, nEvents, Efficiencies
152.41,1540,0.0308
165.05,1544,0.03088
178.75,1471,0.02942
193.57,1434,0.02868
209.63,1392,0.02784
227.02,1287,0.02574
245.86,1182,0.02364
266.25,1177,0.02354
288.34,1105,0.0221
312.26,1077,0.02154
338.16,961,0.01922
366.21,938,0.01876
396.59,828,0.01656
429.49,774,0.01548
465.12,728,0.01456
503.71,684,0.01368
545.49,609,0.01218
590.74,538,0.01076
639.75,450,0.009
692.82,434,0.00868
750.29,356,0.00712
812.54,303,0.00606
879.94,271,0.00542
952.94,217,0.00434
1032,183,0.00366
1117.6,146,0.00292
1210.3,121,0.00242
1310.7,100,0.002
1419.4,76,0.00152
1537.2,54,0.00108
1664.7,42,0.00084
1802.8,25,0.0005
1952.4,23,0.00046
2114.3,19,0.00038
2289.7,14,0.00028
2479.7,12,0.00024
