Bin , nEvents , Efficiencies
152.41,356,0.0356
165.05,346,0.0346
178.75,316,0.0316
193.57,301,0.0301
209.63,311,0.0311
227.02,287,0.0287
245.86,289,0.0289
266.25,268,0.0268
288.34,237,0.0237
312.26,236,0.0236
338.16,224,0.0224
366.21,187,0.0187
396.59,172,0.0172
429.49,174,0.0174
465.12,129,0.0129
503.71,121,0.0121
545.49,122,0.0122
590.74,105,0.0105
639.75,82,0.0082
692.82,77,0.0077
750.29,71,0.0071
812.54,45,0.0045
879.94,34,0.0034
952.94,33,0.0033
1032,19,0.0019
1117.6,23,0.0023
1210.3,19,0.0019
1310.7,9,0.0009
1419.4,8,0.0008
1537.2,8,0.0008
1664.7,3,0.0003
1802.8,4,0.0004
1952.4,1,0.0001
2114.3,1,0.0001
2289.7,2,0.0002
2479.7,0,0
